date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:07:59	1446/1446	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2002%20May%202023%2014:07:58%20GMT	https://arino-html.vercel.app/robots.txt		(from )
19:07:59	105691/105691	---MCZ	200	added ('OK')	text/html	etag:W/%228044e68dd51953a9c5cc9a1ca52b53c5%22	https://arino-html.vercel.app/	D:/01-Templates/arino/arino-html.vercel.app/index.html	(from )
19:07:59	719/719	---M--	200	added ('OK')	image/png	etag:%22aa13f16475cbfcc1c50eaa9ef371bae4%22	https://arino-html.vercel.app/assets/img/favicon.png	D:/01-Templates/arino/arino-html.vercel.app/assets/img/favicon.png	(from https://arino-html.vercel.app/)
19:08:00	193528/193528	---MCZ	200	added ('OK')	text/css	etag:W/%22bfca1b85a7b4e7962a388d02cfbd5b4e%22	https://arino-html.vercel.app/assets/css/plugins/bootstrap.min.css	D:/01-Templates/arino/arino-html.vercel.app/assets/css/plugins/bootstrap.min.css	(from https://arino-html.vercel.app/)
19:08:00	24243/24243	---MCZ	200	added ('OK')	text/css	etag:W/%22a3fadfb566b06fa65bf4abc4ad697f97%22	https://arino-html.vercel.app/assets/css/plugins/lightgallery.min.css	D:/01-Templates/arino/arino-html.vercel.app/assets/css/plugins/lightgallery.min.css	(from https://arino-html.vercel.app/)
19:08:00	1652/1652	---MCZ	200	added ('OK')	text/css	etag:W/%222b276e92d24ab33052c8a9006231f6db%22	https://arino-html.vercel.app/assets/css/plugins/slick.css	D:/01-Templates/arino/arino-html.vercel.app/assets/css/plugins/slick.css	(from https://arino-html.vercel.app/)
19:08:00	77773/77773	---MCZ	200	added ('OK')	text/css	etag:W/%229cbe44ac7f70e6eef4943899d18b1cea%22	https://arino-html.vercel.app/assets/css/plugins/animate.css	D:/01-Templates/arino/arino-html.vercel.app/assets/css/plugins/animate.css	(from https://arino-html.vercel.app/)
19:08:00	167595/167595	---MCZ	200	added ('OK')	text/css	etag:W/%22eea1b256336bfcf34014e72be577122b%22	https://arino-html.vercel.app/assets/css/style.css	D:/01-Templates/arino/arino-html.vercel.app/assets/css/style.css	(from https://arino-html.vercel.app/)
19:08:01	105691/105691	---MCZ	200	added ('OK')	text/html	etag:W/%228044e68dd51953a9c5cc9a1ca52b53c5%22	https://arino-html.vercel.app/index.html	D:/01-Templates/arino/arino-html.vercel.app/index-2.html	(from https://arino-html.vercel.app/)
19:08:01	2321/2321	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22005765b0edbf2cf0f54d6dcedafc7921%22	https://arino-html.vercel.app/assets/img/logo.svg	D:/01-Templates/arino/arino-html.vercel.app/assets/img/logo.svg	(from https://arino-html.vercel.app/)
19:08:01	28642/28642	---M--	200	added ('OK')	image/jpeg	etag:%225627440df9b16ca785e37febb713b293%22	https://arino-html.vercel.app/assets/img/demo/main-home.jpeg	D:/01-Templates/arino/arino-html.vercel.app/assets/img/demo/main-home.jpeg	(from https://arino-html.vercel.app/)
19:08:01	20369/20369	---MCZ	200	added ('OK')	text/html	etag:W/%22c20cc958225b8899d0a5c1445a41be99%22	https://arino-html.vercel.app/showcase-portfolio.html	D:/01-Templates/arino/arino-html.vercel.app/showcase-portfolio.html	(from https://arino-html.vercel.app/)
19:08:01	10049/10049	---M--	200	added ('OK')	image/jpeg	etag:%22e26beeaa64c84bdf9c17dba59bfb1532%22	https://arino-html.vercel.app/assets/img/demo/showcase.jpeg	D:/01-Templates/arino/arino-html.vercel.app/assets/img/demo/showcase.jpeg	(from https://arino-html.vercel.app/)
19:08:02	111100/111100	---MCZ	200	added ('OK')	text/html	etag:W/%22a0fc75a212d0a19d3e71f8f565aa162a%22	https://arino-html.vercel.app/photography-agency.html	D:/01-Templates/arino/arino-html.vercel.app/photography-agency.html	(from https://arino-html.vercel.app/)
19:08:02	30072/30072	---M--	200	added ('OK')	image/jpeg	etag:%22ced2bea160b7bde5337fcacf978e952f%22	https://arino-html.vercel.app/assets/img/demo/photography-agency.jpeg	D:/01-Templates/arino/arino-html.vercel.app/assets/img/demo/photography-agency.jpeg	(from https://arino-html.vercel.app/)
